Country,Cases,Deaths,Category,AsOf
Brazil,3788,1,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Central African Republic,8,2,Has historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Ecuador,35,1,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Ghana,47,1,Has historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
India,9,1,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Nigeria,157,4,Has historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Spain,6284,2,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Andorra,4,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Argentina,72,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Australia,89,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Austria,231,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Bahamas,2,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Barbados,1,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Belgium,671,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Benin,3,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Bermuda,1,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Bolivia,42,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Bosnia and Herzegovina,3,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Bulgaria,4,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Cameroon,7,0,Has historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Canada,1173,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Chile,207,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Colombia,273,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Costa Rica,3,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Croatia,22,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Cuba,1,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Curaçao,1,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Cyprus,4,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Czechia,41,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Democratic Republic of the Congo,163,0,Has historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Denmark,169,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Dominican Republic,7,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Estonia,10,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Finland,22,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
France,2889,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Georgia,2,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Germany,3329,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Gibraltar,6,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Greece,52,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Greenland,2,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Guadeloupe,1,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Guatemala,4,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Honduras,3,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Hungary,64,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Iceland,12,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Indonesia,1,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Iran,1,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Ireland,128,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Israel,213,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Italy,714,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Jamaica,4,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Japan,4,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Latvia,4,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Lebanon,6,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Liberia,2,0,Has historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Lithuania,5,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Luxembourg,47,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Malta,31,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Martinique,1,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Mexico,252,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Moldova,2,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Monaco,3,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Montenegro,2,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Morocco,1,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Netherlands,1087,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
New Caledonia,1,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
New Zealand,4,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Norway,76,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Panama,7,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Peru,1188,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Philippines,4,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Poland,121,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Portugal,810,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Qatar,3,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Republic of the Congo,3,0,Has historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Romania,35,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Russia,1,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Saint Martin,1,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Saudi Arabia,6,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Serbia,31,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Singapore,15,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Slovakia,12,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Slovenia,43,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
South Africa,4,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
South Korea,1,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Sudan,2,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Sweden,150,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Switzerland,416,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Taiwan,3,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Thailand,5,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Turkey,1,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
United Arab Emirates,16,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
United Kingdom,3207,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
United States,15908,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Uruguay,2,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
Venezuela,1,0,Has not historically reported monkeypox,Data as of 23 Aug 2022 5:00 PM EDT
